image_stem,gt_path,pred_path,valid_pixels,correct_pixels,pixel_accuracy,mIoU
1590192593309462784,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192593309462784_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192593309462784_mask_id.png,327680,316823,0.9668670654296875,0.6074561248683324
1590192593809452800,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192593809452800_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192593809452800_mask_id.png,327680,316767,0.9666961669921875,0.662474156668017
1590192593909297920,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192593909297920_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192593909297920_mask_id.png,327680,312846,0.954730224609375,0.6867093969467766
1590192594009920000,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192594009920000_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192594009920000_mask_id.png,327680,312048,0.952294921875,0.6318338418593407
1590192594109759744,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192594109759744_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192594109759744_mask_id.png,327680,306817,0.9363311767578125,0.6380511087981877
1590192594209592832,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192594209592832_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192594209592832_mask_id.png,327680,313612,0.95706787109375,0.6829381610421765
1590192594309442816,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192594309442816_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192594309442816_mask_id.png,327680,299000,0.9124755859375,0.7469286172344659
1590192594409291776,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192594409291776_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192594409291776_mask_id.png,327680,311836,0.95164794921875,0.8419492673837098
1590192594509917952,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192594509917952_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192594509917952_mask_id.png,327680,311863,0.9517303466796875,0.7006115859773328
1590192594609761792,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192594609761792_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192594609761792_mask_id.png,327680,316186,0.964923095703125,0.853595978615806
1590192594909280000,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192594909280000_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192594909280000_mask_id.png,327680,311753,0.9513946533203125,0.6430958421890678
1590192595009920768,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192595009920768_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192595009920768_mask_id.png,327680,316454,0.965740966796875,0.7795442514732948
1590192595109768960,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192595109768960_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192595109768960_mask_id.png,327680,304887,0.9304412841796875,0.6845251076637591
1590192595209606912,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192595209606912_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192595209606912_mask_id.png,327680,313344,0.95625,0.7056859200990012
1590192595309435904,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192595309435904_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192595309435904_mask_id.png,327680,311429,0.9504058837890625,0.686158047111939
1590192595409666816,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192595409666816_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192595409666816_mask_id.png,327680,312473,0.9535919189453125,0.6415691537110898
